City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,bozkurt,41.9577,34.0109,3.57,64,20,1.47,TR,Wed Jan 31 19:45:41 2024
149,polyarnyy,69.1989,33.4478,0.45,95,100,12.41,RU,Wed Jan 31 19:45:41 2024
150,la ronge,55.1001,-105.2842,1.14,86,20,3.09,CA,Wed Jan 31 19:45:42 2024
151,sernur,56.9333,49.1536,-14.12,98,92,2.42,RU,Wed Jan 31 19:45:42 2024
152,ta`u,-14.2336,-169.5144,29.03,67,100,1.15,AS,Wed Jan 31 19:45:42 2024
153,xianning,29.8833,114.2167,5.22,91,100,5.53,CN,Wed Jan 31 19:45:42 2024
154,kristiansund,63.1115,7.732,3.03,69,75,13.89,NO,Wed Jan 31 19:45:42 2024
155,rongelap,11.1635,166.8941,26.48,84,92,10.6,MH,Wed Jan 31 19:45:42 2024
156,canutama,-6.5339,-64.3831,24.69,97,100,0.93,BR,Wed Jan 31 19:45:42 2024
157,college,64.8569,-147.8028,-34.01,70,0,1.54,US,Wed Jan 31 19:45:42 2024
158,northam,51.0333,-4.2167,7.56,88,100,2.95,GB,Wed Jan 31 19:45:43 2024
159,akureyri,65.6835,-18.0878,-3.04,50,75,1.03,IS,Wed Jan 31 19:45:43 2024
160,hillsborough,37.5741,-122.3794,13.19,94,100,12.35,US,Wed Jan 31 19:45:43 2024
161,roma,43.2128,-75.4557,2.68,85,100,1.54,US,Wed Jan 31 19:45:43 2024
162,simpang empat,4.95,100.6333,30.32,67,98,1.03,MY,Wed Jan 31 19:45:43 2024
163,puerto cabezas,14.0351,-83.3888,21.72,79,26,4.49,NI,Wed Jan 31 19:45:43 2024
164,dunedin,-45.8742,170.5036,13.99,78,98,3.96,NZ,Wed Jan 31 19:45:43 2024
165,st. john's,47.5649,-52.7093,-6.17,81,0,8.23,CA,Wed Jan 31 19:45:43 2024
166,richards bay,-28.783,32.0377,20.86,88,37,1.95,ZA,Wed Jan 31 19:45:43 2024
167,laguna,38.421,-121.4238,13.41,79,100,9.26,US,Wed Jan 31 19:45:44 2024
168,terrace,54.5163,-128.6035,4.95,100,100,2.57,CA,Wed Jan 31 19:45:44 2024
169,amga,60.8953,131.9608,-27.01,91,99,1.55,RU,Wed Jan 31 19:45:44 2024
170,utrik,11.2278,169.8474,26.19,85,100,10.28,MH,Wed Jan 31 19:45:44 2024
171,talnakh,69.4865,88.3972,-14.33,74,72,4.44,RU,Wed Jan 31 19:45:44 2024
172,queenstown,-31.8976,26.8753,19.45,72,59,0.76,ZA,Wed Jan 31 19:45:44 2024
173,montevallo,33.1007,-86.8642,7.55,78,0,0.0,US,Wed Jan 31 19:45:44 2024
174,coari,-4.085,-63.1414,24.08,98,100,0.94,BR,Wed Jan 31 19:45:44 2024
175,saposoa,-6.934,-76.7716,23.08,99,100,0.34,PE,Wed Jan 31 19:45:45 2024
176,bubaque,11.2833,-15.8333,25.53,74,87,2.27,GW,Wed Jan 31 19:45:45 2024
177,carutapera,-1.195,-46.02,25.48,93,93,2.4,BR,Wed Jan 31 19:45:45 2024
178,west island,-12.1568,96.8225,29.99,70,100,3.6,CC,Wed Jan 31 19:45:45 2024
179,happy valley-goose bay,53.3168,-60.3315,-17.83,55,0,2.57,CA,Wed Jan 31 19:45:45 2024
180,pompeia,-22.1086,-50.1717,19.59,74,82,2.46,BR,Wed Jan 31 19:45:45 2024
181,santana,-0.0583,-51.1817,26.1,89,75,3.09,BR,Wed Jan 31 19:45:46 2024
182,broome,42.2506,-75.833,1.61,90,100,3.13,US,Wed Jan 31 19:45:46 2024
183,howard springs,-12.497,131.047,29.51,73,100,4.76,AU,Wed Jan 31 19:45:46 2024
184,daru,-9.0763,143.2092,32.84,59,64,2.21,PG,Wed Jan 31 19:45:46 2024
185,umea,63.8284,20.2597,1.96,80,0,6.69,SE,Wed Jan 31 19:45:46 2024
186,ayr,55.4627,-4.6339,7.99,71,75,5.66,GB,Wed Jan 31 19:45:46 2024
187,villa hidalgo,21.6667,-102.6,17.43,46,100,3.7,MX,Wed Jan 31 19:45:46 2024
188,ust-nera,64.5667,143.2,-24.25,100,100,2.06,RU,Wed Jan 31 19:45:46 2024
189,kudahuvadhoo,2.6708,72.8944,27.5,75,18,4.2,MV,Wed Jan 31 19:45:46 2024
190,katsuren-haebaru,26.3369,127.8719,26.43,63,75,4.63,JP,Wed Jan 31 19:45:47 2024
191,mount darwin,-16.7725,31.5838,16.96,87,6,0.85,ZW,Wed Jan 31 19:45:47 2024
192,constantia,44.1833,28.65,-3.62,65,10,2.91,RO,Wed Jan 31 19:45:47 2024
193,lydenburg,-25.0978,30.4597,12.85,97,52,1.52,ZA,Wed Jan 31 19:45:47 2024
194,cadillac,44.2519,-85.4012,1.95,93,100,5.66,US,Wed Jan 31 19:41:13 2024
195,ancud,-41.8697,-73.8203,14.93,95,14,3.43,CL,Wed Jan 31 19:45:47 2024
196,at taj,24.2049,23.2857,4.55,62,0,3.66,LY,Wed Jan 31 19:45:47 2024
197,geraldton,-28.7667,114.6,45.23,7,0,6.17,AU,Wed Jan 31 19:45:47 2024
198,jiagedaqi,50.4167,124.1167,-14.35,61,2,2.89,CN,Wed Jan 31 19:45:47 2024
199,muzaffarnagar,29.4667,77.6833,13.81,83,94,6.18,IN,Wed Jan 31 19:45:48 2024
200,kone,-21.0595,164.8658,27.98,78,91,0.5,NC,Wed Jan 31 19:45:48 2024
201,weyburn,49.6668,-103.8511,1.12,93,14,3.6,CA,Wed Jan 31 19:45:48 2024
202,port-gentil,-0.7193,8.7815,26.98,94,40,1.03,GA,Wed Jan 31 19:45:48 2024
203,fontanelas,38.8472,-9.4372,13.98,80,4,2.33,PT,Wed Jan 31 19:45:48 2024
204,lindi,-10.0,39.7167,23.28,97,100,1.19,TZ,Wed Jan 31 19:45:48 2024
205,mount isa,-20.7333,139.5,32.87,55,40,6.17,AU,Wed Jan 31 19:45:48 2024
206,khorixas,-20.3667,14.9667,23.59,33,71,1.59,NA,Wed Jan 31 19:45:48 2024
207,levuka,50.1834,-105.4011,0.9,75,55,3.56,CA,Wed Jan 31 19:45:48 2024
208,svetlyy,54.675,20.1347,4.09,88,100,9.19,RU,Wed Jan 31 19:45:49 2024
209,enewetak,11.3474,162.3373,26.66,80,38,10.51,MH,Wed Jan 31 19:45:49 2024
210,kabalo,-6.05,26.9167,20.12,99,100,0.31,CD,Wed Jan 31 19:45:49 2024
211,bandarbeyla,9.4942,50.8122,24.14,78,78,3.59,SO,Wed Jan 31 19:45:49 2024
212,guarapari,-20.6667,-40.4975,25.5,84,100,1.41,BR,Wed Jan 31 19:42:20 2024
213,kachug,53.9606,105.8817,-24.42,93,49,0.89,RU,Wed Jan 31 19:45:49 2024
214,wum,6.3833,10.0667,18.89,30,62,1.1,CM,Wed Jan 31 19:45:49 2024
215,shamkhal,43.0596,47.3373,1.56,48,22,4.92,RU,Wed Jan 31 19:45:49 2024
216,arraial do cabo,-22.9661,-42.0278,23.8,91,100,1.61,BR,Wed Jan 31 19:45:49 2024
217,isla mujeres,21.2311,-86.731,18.03,58,44,3.96,MX,Wed Jan 31 19:45:50 2024
218,saudarkrokur,65.7461,-19.6394,-6.8,84,94,8.05,IS,Wed Jan 31 19:45:50 2024
219,essau,13.4839,-16.5347,24.09,36,100,3.08,GM,Wed Jan 31 19:45:50 2024
220,priob'ye,62.5206,65.5964,-25.54,100,100,3.35,RU,Wed Jan 31 19:45:50 2024
221,bako,5.7833,36.5667,19.34,74,100,1.22,ET,Wed Jan 31 19:45:50 2024
222,kirovsk,48.6375,38.6428,0.29,66,100,4.5,UA,Wed Jan 31 19:45:50 2024
223,peace river,56.2501,-117.286,5.17,60,100,1.03,CA,Wed Jan 31 19:45:50 2024
224,labrador city,52.9463,-66.9114,-26.05,70,0,0.0,CA,Wed Jan 31 19:45:51 2024
225,touros,-5.1989,-35.4608,26.71,76,10,5.31,BR,Wed Jan 31 19:45:51 2024
226,la sarre,48.8002,-79.1996,0.34,98,100,4.39,CA,Wed Jan 31 19:43:42 2024
227,petrozavodsk,61.7849,34.3469,1.7,93,100,8.05,RU,Wed Jan 31 19:45:51 2024
228,kokologo,12.1897,-1.8856,21.92,21,53,5.02,BF,Wed Jan 31 19:45:51 2024
229,junagarh,19.8667,82.9333,26.4,36,31,0.74,IN,Wed Jan 31 19:45:51 2024
230,el fasher,13.6279,25.3494,12.63,32,27,3.33,SD,Wed Jan 31 19:45:51 2024
231,charlton kings,51.8837,-2.0424,5.94,83,100,0.45,GB,Wed Jan 31 19:45:51 2024
232,penzance,50.1186,-5.5371,10.38,90,100,2.95,GB,Wed Jan 31 19:45:51 2024
233,bayganin,48.6947,55.8742,-12.21,98,87,3.37,KZ,Wed Jan 31 19:45:52 2024
234,farasan,16.7022,42.1183,25.27,77,100,4.76,SA,Wed Jan 31 19:45:52 2024
235,bovalino,38.149,16.174,11.94,81,33,2.69,IT,Wed Jan 31 19:45:52 2024
236,cannonvale,-20.2833,148.7,29.66,69,100,2.27,AU,Wed Jan 31 19:45:52 2024
237,pajapan,18.25,-94.7,17.74,81,99,2.21,MX,Wed Jan 31 19:45:52 2024
238,talakan,50.3167,130.3667,-19.2,82,99,2.88,RU,Wed Jan 31 19:45:52 2024
239,sao joao da barra,-21.6403,-41.0511,24.46,87,100,3.23,BR,Wed Jan 31 19:45:52 2024
240,nizhneangarsk,55.7833,109.55,-23.33,72,63,0.89,RU,Wed Jan 31 19:45:52 2024
241,brandfort,-28.7001,26.4597,18.67,63,81,2.56,ZA,Wed Jan 31 19:45:52 2024
242,kapa'a,22.0752,-159.319,25.99,68,100,4.63,US,Wed Jan 31 19:42:19 2024
243,kourou,5.1552,-52.6478,27.03,81,81,4.09,GF,Wed Jan 31 19:45:53 2024
244,meadow lake,34.8014,-106.5436,9.55,69,49,1.38,US,Wed Jan 31 19:45:53 2024
245,ryotsu-minato,38.0833,138.4333,1.25,77,99,10.28,JP,Wed Jan 31 19:45:53 2024
246,yichang,30.7144,111.2847,4.81,88,100,1.09,CN,Wed Jan 31 19:45:53 2024
247,konkwesso,10.8469,4.0984,21.85,21,34,2.24,NG,Wed Jan 31 19:45:53 2024
248,mankono,8.0586,-6.1897,23.62,31,12,0.83,CI,Wed Jan 31 19:45:53 2024
249,new norfolk,-42.7826,147.0587,23.17,49,97,6.71,AU,Wed Jan 31 19:45:53 2024
250,biloela,-24.4167,150.5,33.83,38,7,6.11,AU,Wed Jan 31 19:45:53 2024
251,lazaro cardenas,17.9583,-102.2,25.9,77,100,1.16,MX,Wed Jan 31 19:45:54 2024
252,wynyard,-41.0,145.7167,19.28,67,100,7.0,AU,Wed Jan 31 19:45:54 2024
253,sandnessjoen,66.0217,12.6316,4.29,91,100,26.31,NO,Wed Jan 31 19:45:54 2024
254,vilyuchinsk,52.9306,158.4028,-9.85,67,32,0.61,RU,Wed Jan 31 19:45:54 2024
255,cozumel,20.5083,-86.9458,23.3,73,56,4.44,MX,Wed Jan 31 19:45:35 2024
